run_id,selection_reason,true_mechanism,mapped_truth,selected_mechanism,raw_hypothesis,fittable_hypothesis,correct_selection,source
scenario_0_baseline_cal__run_0027,one_per_raw_mechanism:baseline; one_per_confusion_cell:baseline->baseline,baseline,baseline,baseline,switching,maintenance,True,llm_arbitration
scenario_12_death_decay_cal__run_0034,one_per_raw_mechanism:death_decay,death_decay,baseline,baseline,death_decay,maintenance,True,llm_arbitration
scenario_2_inhibition_cal__run_0017,one_per_raw_mechanism:inhibition,inhibition,inhibition,inhibition,inhibition,inhibition,True,llm
scenario_8_lag_adaptation_cal__run_0002,one_per_raw_mechanism:lag_adaptation,lag_adaptation,baseline,baseline,death_decay,baseline,True,llm_arbitration
scenario_1_maintenance_cal__run_0001,one_per_raw_mechanism:maintenance; one_per_confusion_cell:maintenance->maintenance,maintenance,maintenance,maintenance,maintenance,maintenance,True,llm
scenario_6_maintenance_inhibition_cal__run_0024,one_per_raw_mechanism:maintenance_inhibition,maintenance_inhibition,maintenance,maintenance,switching,maintenance,True,llm_arbitration
scenario_11_oxygen_limitation_cal__run_0217,one_per_raw_mechanism:oxygen_limitation,oxygen_limitation,inhibition,inhibition,oxygen_limitation,inhibition,True,llm_arbitration
scenario_10_product_inhibition_cal__run_0243,one_per_raw_mechanism:product_inhibition; one_per_confusion_cell:inhibition->inhibition,product_inhibition,inhibition,inhibition,product_inhibition,inhibition,True,llm_arbitration
scenario_4_switching_cal__run_0013,one_per_raw_mechanism:switching,switching,maintenance,maintenance,switching,maintenance,True,llm_arbitration
scenario_7_switching_inhibition_cal__run_0011,one_per_raw_mechanism:switching_inhibition,switching_inhibition,maintenance,maintenance,switching,maintenance,True,llm_arbitration
scenario_5_time_gated_cal__run_0001,one_per_raw_mechanism:time_gating,time_gating,inhibition,inhibition,time_gating,baseline,True,llm_arbitration
scenario_9_yield_drift_cal__run_0005,one_per_raw_mechanism:yield_drift,yield_drift,maintenance,maintenance,yield_drift,maintenance,True,llm_arbitration
scenario_0_baseline_cal__run_0051,one_per_confusion_cell:baseline->inhibition,baseline,baseline,inhibition,product_inhibition,inhibition,False,llm_arbitration
scenario_0_baseline_cal__run_0054,one_per_confusion_cell:baseline->maintenance,baseline,baseline,maintenance,switching,maintenance,False,llm_arbitration
scenario_10_product_inhibition_cal__run_0014,one_per_confusion_cell:inhibition->baseline,product_inhibition,inhibition,baseline,baseline,baseline,False,llm_arbitration
scenario_10_product_inhibition_cal__run_0160,one_per_confusion_cell:inhibition->maintenance,product_inhibition,inhibition,maintenance,switching,maintenance,False,llm_arbitration
scenario_1_maintenance_cal__run_0013,one_per_confusion_cell:maintenance->baseline,maintenance,maintenance,baseline,maintenance,maintenance,False,llm_arbitration
scenario_4_switching_val__run_0119,one_per_confusion_cell:maintenance->inhibition,switching,maintenance,inhibition,time_gating,maintenance,False,llm_arbitration
