run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_0_baseline_cal,scenario_0_baseline_cal,0.000000,0.020000,16.000000,16.000000,0.026094,15.992437,16.006751,train,,0.020000,16.000000,16.000000,0.006094,-0.007563,0.006751,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,1.212121,0.022960,15.997689,15.997139,0.002160,16.023674,16.025288,train,,0.022960,15.997689,15.997139,-0.020800,0.025985,0.028150,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,2.424242,0.026358,15.995037,15.993854,0.041367,15.987911,15.995666,train,,0.026358,15.995037,15.993854,0.015009,-0.007125,0.001812,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,3.636364,0.030259,15.991992,15.990083,0.049071,16.006742,16.002962,train,,0.030259,15.991992,15.990083,0.018811,0.014750,0.012879,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,4.848485,0.034738,15.988496,15.985754,0.000000,15.969823,15.944751,train,,0.034738,15.988496,15.985754,-0.034738,-0.018672,-0.041003,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,6.060606,0.039878,15.984483,15.980785,0.013835,15.980374,15.979811,train,,0.039878,15.984483,15.980785,-0.026044,-0.004109,-0.000974,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,7.272727,0.045780,15.979876,15.975081,0.048337,15.960876,15.958216,train,,0.045780,15.979876,15.975081,0.002557,-0.019000,-0.016865,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,8.484848,0.052554,15.974588,15.968533,0.046229,15.967807,15.944157,train,,0.052554,15.974588,15.968533,-0.006325,-0.006781,-0.024376,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,9.696970,0.060331,15.968517,15.961016,0.059994,15.985324,15.943453,train,,0.060331,15.968517,15.961016,-0.000336,0.016806,-0.017563,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,10.909091,0.069257,15.961549,15.952388,0.052196,15.927003,15.945706,train,,0.069257,15.961549,15.952388,-0.017061,-0.034546,-0.006682,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,12.121212,0.079504,15.953550,15.942484,0.097092,15.962239,15.960802,train,,0.079504,15.953550,15.942484,0.017588,0.008688,0.018318,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,13.333333,0.091265,15.944368,15.931116,0.106821,15.949123,15.904588,train,,0.091265,15.944368,15.931116,0.015556,0.004755,-0.026528,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,14.545455,0.104765,15.933829,15.918068,0.106086,15.921946,15.918681,train,,0.104765,15.933829,15.918068,0.001321,-0.011883,0.000613,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,15.757576,0.120261,15.921731,15.903091,0.142806,15.892810,15.893408,train,,0.120261,15.921731,15.903091,0.022545,-0.028921,-0.009683,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,16.969697,0.138046,15.907846,15.885902,0.147396,15.909289,15.879348,train,,0.138046,15.907846,15.885902,0.009350,0.001443,-0.006553,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,18.181818,0.158459,15.891909,15.866174,0.141273,15.881319,15.886229,train,,0.158459,15.891909,15.866174,-0.017186,-0.010590,0.020055,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,19.393939,0.181886,15.873618,15.843533,0.189261,15.878272,15.854295,train,,0.181886,15.873618,15.843533,0.007375,0.004654,0.010762,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,20.606061,0.208772,15.852626,15.817550,0.189594,15.853063,15.844298,train,,0.208772,15.852626,15.817550,-0.019178,0.000437,0.026748,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,21.818182,0.239625,15.828535,15.787734,0.257194,15.860570,15.784644,train,,0.239625,15.828535,15.787734,0.017569,0.032036,-0.003090,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,23.030303,0.275029,15.800889,15.753522,0.274031,15.796102,15.739604,train,,0.275029,15.800889,15.753522,-0.000999,-0.004787,-0.013919,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,24.242424,0.315652,15.769166,15.714269,0.311955,15.748696,15.709792,train,,0.315652,15.769166,15.714269,-0.003697,-0.020470,-0.004477,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,25.454545,0.362260,15.732767,15.669235,0.348642,15.736352,15.674085,train,,0.362260,15.732767,15.669235,-0.013619,0.003586,0.004850,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,26.666667,0.415730,15.691006,15.617575,0.440181,15.695406,15.621107,train,,0.415730,15.691006,15.617575,0.024451,0.004400,0.003531,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,27.878788,0.477065,15.643098,15.558321,0.473974,15.670282,15.536633,train,,0.477065,15.643098,15.558321,-0.003091,0.027184,-0.021688,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,29.090909,0.547413,15.588144,15.490365,0.538846,15.604846,15.492175,train,,0.547413,15.588144,15.490365,-0.008567,0.016702,0.001810,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,30.303030,0.628087,15.525116,15.412443,0.621044,15.532254,15.417007,train,,0.628087,15.525116,15.412443,-0.007043,0.007137,0.004565,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,31.515152,0.720587,15.452839,15.323108,0.731234,15.482105,15.373458,train,,0.720587,15.452839,15.323108,0.010646,0.029266,0.050349,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,32.727273,0.826627,15.369969,15.220712,0.833936,15.346193,15.258249,train,,0.826627,15.369969,15.220712,0.007309,-0.023775,0.037537,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,33.939394,0.948161,15.274973,15.103374,0.956415,15.262178,15.086309,train,,0.948161,15.274973,15.103374,0.008255,-0.012795,-0.017065,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,35.151515,1.087415,15.166101,14.968953,1.096031,15.147570,14.963205,train,,1.087415,15.166101,14.968953,0.008616,-0.018532,-0.005748,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,36.363636,1.246925,15.041363,14.815014,1.289758,15.033566,14.785746,train,,1.246925,15.041363,14.815014,0.042833,-0.007796,-0.029269,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,37.575758,1.429569,14.898488,14.638795,1.421441,14.870955,14.626981,train,,1.429569,14.898488,14.638795,-0.008128,-0.027534,-0.011814,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,38.787879,1.638616,14.734904,14.437166,1.628371,14.747607,14.443478,train,,1.638616,14.734904,14.437166,-0.010245,0.012703,0.006312,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,40.000000,1.877761,14.547688,14.206593,1.861486,14.543244,14.230710,train,,1.877761,14.547688,14.206593,-0.016275,-0.004444,0.024117,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,41.212121,2.151175,14.333539,13.943095,2.163494,14.304123,13.928513,train,,2.151175,14.333539,13.943095,0.012320,-0.029416,-0.014582,0.000000,0.000000,0.000000
scenario_0_baseline_cal,scenario_0_baseline_cal,42.424242,2.463545,14.088731,13.642210,2.486125,14.068420,13.629128,train,,2.463545,14.088731,13.642210,0.022579,-0.020312,-0.013083,0.000000,0.000000,0.000000
