run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,0.000000,0.020000,16.000000,16.000000,0.024502,15.993508,16.029809,train,,0.020000,16.000000,16.000000,0.004502,-0.006492,0.029809,0.000000,0.000000,0.000000
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,1.212121,0.022959,15.997170,15.997140,0.021892,15.983000,15.980512,train,,0.022960,15.997169,15.997139,-0.001068,-0.014169,-0.016626,-0.000001,0.000001,0.000001
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,2.424242,0.026353,15.993924,15.993859,0.043634,15.982726,15.996763,train,,0.026358,15.993920,15.993854,0.017275,-0.011194,0.002909,-0.000006,0.000004,0.000005
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,3.636364,0.030244,15.990202,15.990098,0.042379,16.025048,15.986234,train,,0.030259,15.990190,15.990083,0.012120,0.034858,-0.003849,-0.000015,0.000012,0.000014
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,4.848485,0.034706,15.985933,15.985785,0.000000,15.992081,15.984525,train,,0.034738,15.985907,15.985754,-0.034738,0.006174,-0.001229,-0.000032,0.000026,0.000031
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,6.060606,0.039818,15.981041,15.980843,0.050723,15.984533,15.948230,train,,0.039878,15.980992,15.980785,0.010845,0.003541,-0.032555,-0.000060,0.000049,0.000058
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,7.272727,0.045675,15.975434,15.975182,0.025605,15.970189,16.003397,train,,0.045780,15.975348,15.975081,-0.020174,-0.005159,0.028316,-0.000105,0.000086,0.000101
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,8.484848,0.052382,15.969012,15.968699,0.023947,16.017931,15.953212,train,,0.052554,15.968870,15.968533,-0.028607,0.049061,-0.015321,-0.000172,0.000142,0.000166
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,9.696970,0.060058,15.961659,15.961279,0.056289,15.987759,15.981801,train,,0.060330,15.961434,15.961017,-0.004041,0.026325,0.020784,-0.000272,0.000225,0.000263
scenario_10_product_inhibition_cal,scenario_10_product_inhibition_cal,10.909091,0.068840,15.953244,15.952791,0.077059,15.938822,15.940363,train,,0.069256,15.952898,15.952389,0.007803,-0.014076,-0.012025,-0.000416,0.000346,0.000402
