run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,0.000000,0.020000,16.000000,16.000000,0.037667,15.984294,15.990456,train,,0.020000,16.000000,16.000000,0.017667,-0.015706,-0.009544,0.000000,0.000000,0.000000
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,1.212121,0.022947,15.997180,15.997152,0.016833,16.031881,16.018162,train,,0.022960,15.997169,15.997139,-0.006127,0.034711,0.021024,-0.000014,0.000011,0.000013
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,2.424242,0.026325,15.993947,15.993886,0.039159,15.967446,15.991422,train,,0.026358,15.993920,15.993854,0.012801,-0.026474,-0.002431,-0.000033,0.000027,0.000032
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,3.636364,0.030198,15.990240,15.990143,0.034656,16.022548,16.002374,train,,0.030259,15.990190,15.990083,0.004396,0.032359,0.012291,-0.000062,0.000050,0.000060
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,4.848485,0.034636,15.985990,15.985853,0.049033,15.965660,15.999273,train,,0.034738,15.985907,15.985754,0.014295,-0.020247,0.013518,-0.000102,0.000083,0.000098
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,6.060606,0.039721,15.981121,15.980937,0.012835,15.981101,15.971888,train,,0.039878,15.980992,15.980785,-0.027043,0.000109,-0.008897,-0.000157,0.000129,0.000152
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,7.272727,0.045546,15.975542,15.975306,0.042633,15.965738,15.997145,train,,0.045780,15.975348,15.975081,-0.003147,-0.009610,0.022064,-0.000233,0.000194,0.000225
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,8.484848,0.052216,15.969152,15.968859,0.051055,15.962278,15.953680,train,,0.052554,15.968870,15.968533,-0.001498,-0.006593,-0.014853,-0.000337,0.000282,0.000326
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,9.696970,0.059851,15.961836,15.961479,0.072324,15.977863,15.977038,train,,0.060330,15.961434,15.961017,0.011994,0.016429,0.016022,-0.000479,0.000402,0.000463
scenario_11_oxygen_limitation_cal,scenario_11_oxygen_limitation_cal,10.909091,0.068586,15.953463,15.953036,0.056018,15.983459,15.945232,train,,0.069256,15.952898,15.952389,-0.013238,0.030561,-0.007157,-0.000670,0.000565,0.000647
