run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_12_death_decay_cal,scenario_12_death_decay_cal,0.000000,0.020000,16.000000,16.000000,0.036935,16.003278,16.003683,train,,0.020000,16.000000,16.000000,0.016935,0.003278,0.003683,0.000000,0.000000,0.000000
scenario_12_death_decay_cal,scenario_12_death_decay_cal,1.212121,0.022546,15.997196,15.997165,0.037325,15.985219,16.028108,train,,0.022960,15.997169,15.997139,0.014365,-0.011950,0.030969,-0.000414,0.000026,0.000026
scenario_12_death_decay_cal,scenario_12_death_decay_cal,2.424242,0.025417,15.994034,15.993969,0.036168,15.982931,15.964343,train,,0.026358,15.993920,15.993854,0.009809,-0.010989,-0.029511,-0.000941,0.000114,0.000115
scenario_12_death_decay_cal,scenario_12_death_decay_cal,3.636364,0.028653,15.990470,15.990367,0.030125,15.988099,15.972145,train,,0.030259,15.990190,15.990083,-0.000135,-0.002091,-0.017938,-0.001606,0.000281,0.000284
scenario_12_death_decay_cal,scenario_12_death_decay_cal,4.848485,0.032301,15.986453,15.986306,0.021813,15.985558,16.042395,train,,0.034738,15.985907,15.985754,-0.012924,-0.000350,0.056641,-0.002437,0.000545,0.000551
scenario_12_death_decay_cal,scenario_12_death_decay_cal,6.060606,0.036413,15.981924,15.981728,0.020114,15.973147,15.976266,train,,0.039878,15.980992,15.980785,-0.019765,-0.007844,-0.004519,-0.003465,0.000933,0.000943
scenario_12_death_decay_cal,scenario_12_death_decay_cal,7.272727,0.041048,15.976819,15.976567,0.066846,15.983298,15.938747,train,,0.045780,15.975348,15.975081,0.021067,0.007949,-0.036334,-0.004731,0.001470,0.001486
scenario_12_death_decay_cal,scenario_12_death_decay_cal,8.484848,0.046273,15.971064,15.970750,0.061570,15.934769,15.959099,train,,0.052554,15.968870,15.968533,0.009016,-0.034102,-0.009434,-0.006280,0.002194,0.002217
scenario_12_death_decay_cal,scenario_12_death_decay_cal,9.696970,0.052163,15.964577,15.964193,0.038297,15.949967,15.908816,train,,0.060330,15.961434,15.961017,-0.022033,-0.011467,-0.052201,-0.008167,0.003143,0.003177
scenario_12_death_decay_cal,scenario_12_death_decay_cal,10.909091,0.058803,15.957264,15.956802,0.059599,15.951665,15.961620,train,,0.069256,15.952898,15.952389,-0.009657,-0.001232,0.009232,-0.010453,0.004366,0.004413
