run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,0.000000,0.020000,10.000000,16.000000,0.031246,9.989476,16.006672,train,0.050000,0.020000,10.000000,16.000000,0.011246,-0.010524,0.006672,0.000000,0.000000,0.000000
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,1.212121,0.021249,9.996011,15.999900,0.040652,10.012930,16.024627,train,0.039239,0.022868,9.997838,15.997145,0.017785,0.015092,0.027483,-0.001619,-0.001828,0.002756
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,2.424242,0.022580,9.991751,15.999810,0.019658,10.013394,16.024126,train,0.030795,0.026146,9.995367,15.993880,-0.006488,0.018028,0.030247,-0.003566,-0.003616,0.005930
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,3.636364,0.023998,9.987206,15.999727,0.000000,9.976779,15.990708,train,0.024169,0.029895,9.992541,15.990147,-0.029895,-0.015762,0.000560,-0.005897,-0.005335,0.009580
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,4.848485,0.025508,9.982361,15.999649,0.000000,9.967503,16.003530,train,0.018969,0.034180,9.989310,15.985879,-0.034180,-0.021807,0.017650,-0.008673,-0.006949,0.013770
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,6.060606,0.027115,9.977199,15.999576,0.044310,9.992026,15.962294,train,0.014889,0.039080,9.985616,15.981000,0.005230,0.006410,-0.018706,-0.011965,-0.008417,0.018576
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,7.272727,0.028825,9.971702,15.999505,0.003613,9.983200,16.001487,train,0.011687,0.044682,9.981393,15.975421,-0.041069,0.001806,0.026066,-0.015857,-0.009691,0.024084
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,8.484848,0.030645,9.965849,15.999437,0.038485,9.937637,15.983557,train,0.009175,0.051087,9.976565,15.969044,-0.012601,-0.038928,0.014513,-0.020442,-0.010716,0.030393
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,9.696970,0.032581,9.959621,15.999369,0.034868,9.937052,15.995642,train,0.007203,0.058409,9.971046,15.961752,-0.023541,-0.033994,0.033890,-0.025828,-0.011425,0.037617
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,10.909091,0.034640,9.952993,15.999302,0.042182,9.902264,15.965594,train,0.005656,0.066779,9.964736,15.953416,-0.024597,-0.062472,0.012178,-0.032140,-0.011743,0.045886
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,12.121212,0.036829,9.945942,15.999233,0.046261,9.957849,16.007331,train,0.004442,0.076349,9.957523,15.943886,-0.030088,0.000326,0.063445,-0.039519,-0.011581,0.055347
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,13.333333,0.039158,9.938441,15.999164,0.020485,9.933204,15.965233,train,0.003489,0.087288,9.949277,15.932992,-0.066803,-0.016073,0.032241,-0.048130,-0.010837,0.066172
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,14.545455,0.041635,9.930463,15.999093,0.022124,9.927220,16.002058,train,0.002741,0.099793,9.939851,15.920538,-0.077669,-0.012632,0.081521,-0.058159,-0.009389,0.078555
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,15.757576,0.044268,9.921978,15.999019,0.058567,9.888149,15.974489,train,0.002155,0.114088,9.929077,15.906301,-0.055521,-0.040929,0.068188,-0.069820,-0.007100,0.092718
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,16.969697,0.047068,9.912954,15.998942,0.034481,9.890992,15.981949,train,0.001694,0.130428,9.916762,15.890027,-0.095946,-0.025770,0.091922,-0.083359,-0.003808,0.108915
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,18.181818,0.050045,9.903359,15.998862,0.000000,9.893800,16.021956,train,0.001333,0.149103,9.902687,15.871426,-0.149103,-0.008887,0.150530,-0.099058,0.000672,0.127436
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,19.393939,0.053211,9.893156,15.998778,0.066186,9.879709,16.010536,train,0.001050,0.170449,9.886601,15.850165,-0.104263,-0.006891,0.160371,-0.117238,0.006555,0.148613
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,20.606061,0.056576,9.882307,15.998689,0.035850,9.884664,16.021673,train,0.000827,0.194844,9.868217,15.825866,-0.158993,0.016447,0.195807,-0.138268,0.014090,0.172823
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,21.818182,0.060153,9.870772,15.998596,0.069496,9.882442,16.029790,train,0.000653,0.222722,9.847210,15.798095,-0.153226,0.035232,0.231695,-0.162569,0.023563,0.200500
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,23.030303,0.063956,9.858509,15.998497,0.091813,9.903901,15.983040,train,0.000516,0.254578,9.823206,15.766360,-0.162765,0.080695,0.216680,-0.190622,0.035302,0.232137
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,24.242424,0.067999,9.845470,15.998393,0.068335,9.845070,16.028372,train,0.000409,0.290977,9.795783,15.730098,-0.222642,0.049287,0.298274,-0.222977,0.049688,0.268295
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,25.454545,0.072297,9.831608,15.998282,0.092212,9.853916,15.968972,train,0.000324,0.332561,9.764455,15.688666,-0.240348,0.089462,0.280306,-0.260264,0.067154,0.309616
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,26.666667,0.076866,9.816872,15.998165,0.079942,9.800273,16.013087,train,0.000258,0.380064,9.728672,15.641333,-0.300122,0.071601,0.371754,-0.303198,0.088200,0.356832
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,27.878788,0.081722,9.801206,15.998040,0.113470,9.767707,15.988174,train,0.000207,0.434320,9.687807,15.587265,-0.320850,0.079900,0.400909,-0.352599,0.113399,0.410775
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,29.090909,0.086883,9.784553,15.997908,0.065641,9.777507,15.979302,train,0.000166,0.496280,9.641146,15.525513,-0.430639,0.136361,0.453789,-0.409397,0.143407,0.472395
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,30.303030,0.092369,9.766850,15.997767,0.092205,9.734895,16.010057,train,0.000134,0.567025,9.587878,15.454996,-0.474820,0.147017,0.555061,-0.474656,0.178971,0.542771
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,31.515152,0.098200,9.748032,15.997618,0.111663,9.748325,16.016517,train,0.000109,0.647782,9.527084,15.374486,-0.536119,0.221242,0.642030,-0.549582,0.220948,0.623131
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,32.727273,0.104397,9.728030,15.997458,0.100589,9.712421,16.015764,train,0.000090,0.739946,9.457717,15.282588,-0.639357,0.254704,0.733175,-0.635549,0.270313,0.714870
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,33.939394,0.110983,9.706769,15.997289,0.134027,9.667684,16.001586,train,0.000075,0.845098,9.378595,15.177718,-0.711070,0.289088,0.823868,-0.734115,0.328174,0.819570
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,35.151515,0.117982,9.684172,15.997108,0.109341,9.718893,15.999747,train,0.000063,0.965027,9.288381,15.058081,-0.855685,0.430511,0.941666,-0.847045,0.395791,0.939027
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,36.363636,0.125419,9.660155,15.996916,0.166807,9.649404,16.007453,train,0.000054,1.101757,9.185565,14.921645,-0.934950,0.463839,1.085809,-0.976337,0.474590,1.075271
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,37.575758,0.133322,9.634630,15.996711,0.175766,9.601877,16.002786,train,0.000046,1.257570,9.068445,14.766114,-1.081804,0.533432,1.236673,-1.124248,0.566185,1.230597
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,38.787879,0.141720,9.607503,15.996493,0.147361,9.625466,16.007320,train,0.000041,1.435037,8.935114,14.588901,-1.287675,0.690353,1.418419,-1.293317,0.672389,1.407592
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,40.000000,0.150642,9.578675,15.996260,0.161694,9.564103,16.000340,train,0.000037,1.637038,8.783434,14.387095,-1.475344,0.780669,1.613245,-1.486396,0.795242,1.609165
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,41.212121,0.160121,9.548041,15.996013,0.183954,9.569845,16.012868,train,0.000033,1.866795,8.611026,14.157435,-1.682841,0.958819,1.855433,-1.706674,0.937016,1.838578
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,42.424242,0.170191,9.515490,15.995748,0.146447,9.500822,15.963204,train,0.000031,2.127894,8.415254,13.896279,-1.981447,1.085568,2.066925,-1.957703,1.100236,2.099469
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,43.636364,0.180888,9.480903,15.995467,0.154648,9.470085,15.992841,train,0.000029,2.424298,8.193220,13.599582,-2.269650,1.276865,2.393259,-2.243410,1.287683,2.395884
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,44.848485,0.192251,9.444154,15.995166,0.217379,9.451051,15.967489,train,0.000028,2.760358,7.941765,13.262878,-2.542979,1.509286,2.704611,-2.568107,1.502389,2.732288
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,46.060606,0.204320,9.405112,15.994846,0.209799,9.416976,16.000380,train,0.000027,3.140800,7.657494,12.881280,-2.931001,1.759482,3.119100,-2.936480,1.747618,3.113566
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,47.272727,0.217137,9.363635,15.994504,0.212607,9.379005,16.027342,train,0.000027,3.570684,7.336821,12.449496,-3.358078,2.042184,3.577846,-3.353548,2.026814,3.545007
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,48.484848,0.230748,9.319576,15.994138,0.230970,9.317781,15.984657,train,0.000027,4.055324,6.976062,11.961889,-3.824354,2.341719,4.022768,-3.824576,2.343514,4.032249
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,49.696970,0.245200,9.272776,15.993749,0.197480,9.283349,15.996294,train,0.000027,4.600130,6.571583,11.412582,-4.402651,2.711766,4.583712,-4.354930,2.701193,4.581167
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,50.909091,0.260545,9.223070,15.993333,0.256734,9.237982,16.008462,train,0.000027,5.210354,6.120060,10.795655,-4.953620,3.117923,5.212807,-4.949809,3.103010,5.197678
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,52.121212,0.276835,9.170281,15.992888,0.261774,9.174292,15.951534,train,0.000028,5.890663,5.618879,10.105472,-5.628890,3.555413,5.846062,-5.613829,3.551402,5.887417
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,53.333333,0.294126,9.114223,15.992414,0.312487,9.111370,15.981971,train,0.000029,6.644467,5.066780,9.337208,-6.331981,4.044590,6.644763,-6.350342,4.047443,6.655206
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,54.545455,0.312477,9.054701,15.991906,0.332377,9.025795,15.999197,train,0.000030,7.472848,4.464866,8.487695,-7.140471,4.560929,7.511501,-7.160371,4.589834,7.504211
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,55.757576,0.331951,8.991505,15.991364,0.343484,9.003489,15.933424,train,0.000031,8.372893,3.818154,7.556754,-8.029409,5.185335,8.376671,-8.040943,5.173352,8.434610
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,56.969697,0.352613,8.924419,15.990784,0.360522,8.925263,15.971248,train,0.000032,9.335156,3.137911,6.549268,-8.974635,5.787352,9.421981,-8.982544,5.786509,9.441517
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,58.181818,0.374532,8.853211,15.990164,0.344585,8.844939,16.012181,train,0.000034,10.339971,2.444884,5.478361,-9.995386,6.400054,10.533821,-9.965439,6.408327,10.511803
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,59.393939,0.397780,8.777638,15.989501,0.409593,8.803193,16.009561,train,0.000035,11.352792,1.772845,4.370003,-10.943199,7.030349,11.639558,-10.955012,7.004793,11.619498
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,60.606061,0.422433,8.697445,15.988790,0.435021,8.668888,15.996277,train,0.000037,12.320491,1.169439,3.268811,-11.885470,7.499449,12.727466,-11.898058,7.528005,12.719980
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,61.818182,0.448570,8.612361,15.988030,0.473474,8.645242,16.005674,train,0.000040,13.174498,0.686915,2.242461,-12.701024,7.958327,13.763213,-12.725927,7.925446,13.745569
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,63.030303,0.476275,8.522106,15.987215,0.518639,8.521660,15.991517,train,0.000043,13.849021,0.356850,1.376126,-13.330382,8.164811,14.615392,-13.372746,8.165256,14.611090
scenario_13_switching_maintenance_cal,scenario_13_switching_maintenance_cal,64.242424,0.505633,8.426381,15.986342,0.471782,8.432732,15.997450,train,0.000046,14.311281,0.166974,0.742789,-13.839500,8.265758,15.254661,-13.805648,8.259407,15.243553
