run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_1_maintenance_cal,scenario_1_maintenance_cal,0.000000,0.020000,16.000000,16.000000,0.030308,16.022259,15.983099,train,,0.020000,16.000000,16.000000,0.010308,0.022259,-0.016901,0.000000,0.000000,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,1.212121,0.022960,15.995610,15.997139,0.011409,15.990709,15.975465,train,,0.022960,15.997689,15.997139,-0.011551,-0.006981,-0.021674,-0.000000,-0.002080,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,2.424242,0.026358,15.990570,15.993854,0.051847,15.969954,16.000746,train,,0.026358,15.995037,15.993854,0.025489,-0.025083,0.006892,-0.000000,-0.004467,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,3.636364,0.030259,15.984784,15.990083,0.017707,15.983645,15.997669,train,,0.030259,15.991992,15.990083,-0.012552,-0.008347,0.007586,-0.000000,-0.007208,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,4.848485,0.034737,15.978142,15.985754,0.022005,15.999126,16.011501,train,,0.034738,15.988496,15.985754,-0.012733,0.010630,0.025747,-0.000000,-0.010354,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,6.060606,0.039878,15.970518,15.980785,0.050700,15.950998,16.002785,train,,0.039878,15.984483,15.980785,0.010822,-0.033484,0.022000,-0.000001,-0.013965,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,7.272727,0.045779,15.961765,15.975081,0.061037,15.943554,15.972437,train,,0.045780,15.979876,15.975081,0.015258,-0.036323,-0.002644,-0.000001,-0.018111,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,8.484848,0.052553,15.951718,15.968533,0.061515,15.962889,15.943649,train,,0.052554,15.974588,15.968533,0.008960,-0.011699,-0.024884,-0.000002,-0.022870,0.000000
scenario_1_maintenance_cal,scenario_1_maintenance_cal,9.696970,0.060328,15.940184,15.961017,0.026616,15.935753,15.954635,train,,0.060331,15.968517,15.961016,-0.033714,-0.032764,-0.006381,-0.000003,-0.028333,0.000001
scenario_1_maintenance_cal,scenario_1_maintenance_cal,10.909091,0.069253,15.926945,15.952389,0.080014,15.939895,15.956734,train,,0.069257,15.961549,15.952388,0.010757,-0.021655,0.004346,-0.000004,-0.034604,0.000001
