run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_2_inhibition_cal,scenario_2_inhibition_cal,0.000000,0.020000,20.000000,10.000000,0.000000,20.001070,10.023651,train,,0.020000,20.000000,10.000000,-0.020000,0.001070,0.023651,0.000000,0.000000,0.000000
scenario_2_inhibition_cal,scenario_2_inhibition_cal,1.212121,0.021568,19.997207,9.999646,0.011844,19.955519,9.993167,train,,0.022868,19.997123,9.997359,-0.011024,-0.041604,-0.004192,-0.001300,0.000084,0.002288
scenario_2_inhibition_cal,scenario_2_inhibition_cal,2.424242,0.023259,19.994196,9.999265,0.031664,20.006481,9.995183,train,,0.026146,19.993833,9.994339,0.005517,0.012648,0.000844,-0.002887,0.000362,0.004926
scenario_2_inhibition_cal,scenario_2_inhibition_cal,3.636364,0.025083,19.990948,9.998853,0.023035,20.006025,9.989020,train,,0.029895,19.990072,9.990886,-0.006860,0.015953,-0.001866,-0.004813,0.000876,0.007967
scenario_2_inhibition_cal,scenario_2_inhibition_cal,4.848485,0.027049,19.987445,9.998409,0.014038,19.982423,9.986796,train,,0.034181,19.985772,9.986939,-0.020143,-0.003348,-0.000143,-0.007132,0.001674,0.011470
scenario_2_inhibition_cal,scenario_2_inhibition_cal,6.060606,0.029170,19.983668,9.997931,0.015686,19.934054,10.011824,train,,0.039081,19.980855,9.982426,-0.023395,-0.046800,0.029397,-0.009911,0.002814,0.015504
scenario_2_inhibition_cal,scenario_2_inhibition_cal,7.272727,0.031457,19.979595,9.997414,0.017211,19.959667,10.002532,train,,0.044683,19.975233,9.977267,-0.027473,-0.015566,0.025265,-0.013226,0.004362,0.020147
scenario_2_inhibition_cal,scenario_2_inhibition_cal,8.484848,0.033924,19.975203,9.996857,0.016334,19.999861,10.009892,train,,0.051088,19.968806,9.971369,-0.034754,0.031055,0.038522,-0.017164,0.006397,0.025487
scenario_2_inhibition_cal,scenario_2_inhibition_cal,9.696970,0.036584,19.970467,9.996255,0.082217,19.914907,9.996080,train,,0.058410,19.961458,9.964627,0.023806,-0.046551,0.031453,-0.021826,0.009009,0.031629
scenario_2_inhibition_cal,scenario_2_inhibition_cal,10.909091,0.039453,19.965359,9.995607,0.045403,19.958408,10.005871,train,,0.066781,19.953056,9.956919,-0.021378,0.005352,0.048952,-0.027328,0.012302,0.038688
scenario_2_inhibition_cal,scenario_2_inhibition_cal,12.121212,0.042547,19.959850,9.994907,0.060282,19.936250,9.986530,train,,0.076350,19.943452,9.948108,-0.016069,-0.007202,0.038422,-0.033804,0.016398,0.046799
scenario_2_inhibition_cal,scenario_2_inhibition_cal,13.333333,0.045883,19.953910,9.994152,0.036102,19.970001,10.038747,train,,0.087290,19.932471,9.938037,-0.051188,0.037530,0.100710,-0.041406,0.021439,0.056115
scenario_2_inhibition_cal,scenario_2_inhibition_cal,14.545455,0.049482,19.947504,9.993337,0.045762,19.934002,9.961979,train,,0.099794,19.919918,9.926525,-0.054032,0.014084,0.035453,-0.050313,0.027586,0.066812
scenario_2_inhibition_cal,scenario_2_inhibition_cal,15.757576,0.053362,19.940596,9.992458,0.039091,19.948675,10.017677,train,,0.114088,19.905567,9.913368,-0.074997,0.043107,0.104309,-0.060726,0.035028,0.079090
scenario_2_inhibition_cal,scenario_2_inhibition_cal,16.969697,0.057548,19.933146,9.991510,0.004514,19.944455,10.018868,train,,0.130426,19.889162,9.898330,-0.125912,0.055293,0.120537,-0.072878,0.043983,0.093179
scenario_2_inhibition_cal,scenario_2_inhibition_cal,18.181818,0.062062,19.925112,9.990486,0.034501,19.961836,9.973443,train,,0.149099,19.870410,9.881145,-0.114598,0.091427,0.092298,-0.087038,0.054702,0.109341
scenario_2_inhibition_cal,scenario_2_inhibition_cal,19.393939,0.066930,19.916448,9.989381,0.030717,19.912389,10.033967,train,,0.170441,19.848974,9.861508,-0.139724,0.063415,0.172459,-0.103511,0.067474,0.127874
