run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_3_high_noise_cal,scenario_3_high_noise_cal,0.000000,0.020000,16.000000,16.000000,0.016823,15.955634,15.963844,train,,0.020000,16.000000,16.000000,-0.003177,-0.044366,-0.036156,0.000000,0.000000,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,1.212121,0.022960,15.995610,15.997139,0.058357,16.081314,15.943868,train,,0.022960,15.997689,15.997139,0.035396,0.083625,-0.053270,-0.000000,-0.002080,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,2.424242,0.026358,15.990570,15.993854,0.002004,16.038805,16.028575,train,,0.026358,15.995037,15.993854,-0.024354,0.043768,0.034721,-0.000000,-0.004467,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,3.636364,0.030259,15.984784,15.990083,0.000000,15.974382,16.010231,train,,0.030259,15.991992,15.990083,-0.030259,-0.017610,0.020148,-0.000000,-0.007208,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,4.848485,0.034737,15.978142,15.985754,0.042126,16.027671,15.873371,train,,0.034738,15.988496,15.985754,0.007388,0.039175,-0.112383,-0.000000,-0.010354,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,6.060606,0.039878,15.970518,15.980785,0.000000,15.877645,16.070600,train,,0.039878,15.984483,15.980785,-0.039878,-0.106838,0.089814,-0.000001,-0.013965,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,7.272727,0.045779,15.961765,15.975081,0.083942,15.964355,15.967546,train,,0.045780,15.979876,15.975081,0.038162,-0.015522,-0.007535,-0.000001,-0.018111,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,8.484848,0.052553,15.951718,15.968533,0.052507,15.963503,15.879659,train,,0.052554,15.974588,15.968533,-0.000047,-0.011084,-0.088874,-0.000002,-0.022870,0.000000
scenario_3_high_noise_cal,scenario_3_high_noise_cal,9.696970,0.060328,15.940184,15.961017,0.063503,15.902597,16.056120,train,,0.060331,15.968517,15.961016,0.003173,-0.065920,0.095103,-0.000003,-0.028333,0.000001
scenario_3_high_noise_cal,scenario_3_high_noise_cal,10.909091,0.069253,15.926945,15.952389,0.146112,15.961781,16.002443,train,,0.069257,15.961549,15.952388,0.076855,0.000232,0.050055,-0.000004,-0.034604,0.000001
scenario_3_high_noise_cal,scenario_3_high_noise_cal,12.121212,0.079498,15.911748,15.942486,0.000000,15.849313,15.841323,train,,0.079504,15.953550,15.942484,-0.079504,-0.104237,-0.101162,-0.000006,-0.041802,0.000002
scenario_3_high_noise_cal,scenario_3_high_noise_cal,13.333333,0.091257,15.894304,15.931119,0.000000,15.935089,16.073294,train,,0.091265,15.944368,15.931116,-0.091265,-0.009279,0.142177,-0.000009,-0.050065,0.000003
scenario_3_high_noise_cal,scenario_3_high_noise_cal,14.545455,0.104753,15.874281,15.918072,0.126657,15.918430,15.970776,train,,0.104765,15.933829,15.918068,0.021892,-0.015399,0.052708,-0.000012,-0.059548,0.000004
scenario_3_high_noise_cal,scenario_3_high_noise_cal,15.757576,0.120243,15.851299,15.903097,0.119674,15.617926,15.902282,train,,0.120261,15.921731,15.903091,-0.000587,-0.303805,-0.000810,-0.000018,-0.070432,0.000006
scenario_3_high_noise_cal,scenario_3_high_noise_cal,16.969697,0.138021,15.824922,15.885911,0.151635,15.920146,16.013128,train,,0.138046,15.907846,15.885902,0.013589,0.012300,0.127226,-0.000025,-0.082925,0.000009
scenario_3_high_noise_cal,scenario_3_high_noise_cal,18.181818,0.158423,15.794648,15.866187,0.121453,15.550837,15.878930,train,,0.158459,15.891909,15.866174,-0.037006,-0.341072,0.012757,-0.000036,-0.097262,0.000013
scenario_3_high_noise_cal,scenario_3_high_noise_cal,19.393939,0.181837,15.759903,15.843551,0.234985,15.710619,15.841304,train,,0.181886,15.873618,15.843533,0.053099,-0.162999,-0.002228,-0.000050,-0.113715,0.000019
scenario_3_high_noise_cal,scenario_3_high_noise_cal,20.606061,0.208703,15.720030,15.817576,0.283314,15.802058,15.764752,train,,0.208772,15.852626,15.817550,0.074542,-0.050568,-0.052798,-0.000069,-0.132596,0.000026
scenario_3_high_noise_cal,scenario_3_high_noise_cal,21.818182,0.239531,15.674274,15.787771,0.278249,15.648891,15.834319,train,,0.239625,15.828535,15.787734,0.038624,-0.179644,0.046585,-0.000095,-0.154261,0.000037
scenario_3_high_noise_cal,scenario_3_high_noise_cal,23.030303,0.274900,15.621771,15.753574,0.254033,15.504476,15.791703,train,,0.275029,15.800889,15.753522,-0.020996,-0.296413,0.038180,-0.000130,-0.179118,0.000052
scenario_3_high_noise_cal,scenario_3_high_noise_cal,24.242424,0.315475,15.561529,15.714341,0.146860,15.474030,15.715516,train,,0.315652,15.769166,15.714269,-0.168792,-0.295136,0.001247,-0.000177,-0.207637,0.000072
scenario_3_high_noise_cal,scenario_3_high_noise_cal,25.454545,0.362019,15.492414,15.669335,0.423558,15.574567,15.606136,train,,0.362260,15.732767,15.669235,0.061298,-0.158200,-0.063099,-0.000241,-0.240352,0.000100
scenario_3_high_noise_cal,scenario_3_high_noise_cal,26.666667,0.415403,15.413129,15.617712,0.513141,15.259408,15.628107,train,,0.415730,15.691006,15.617575,0.097411,-0.431598,0.010532,-0.000327,-0.277877,0.000137
scenario_3_high_noise_cal,scenario_3_high_noise_cal,27.878788,0.476622,15.322185,15.558509,0.528186,15.412504,15.552925,train,,0.477065,15.643098,15.558321,0.051122,-0.230594,-0.005396,-0.000443,-0.320913,0.000188
scenario_3_high_noise_cal,scenario_3_high_noise_cal,29.090909,0.546814,15.217884,15.490622,0.476443,15.213476,15.383944,train,,0.547413,15.588144,15.490365,-0.070970,-0.374668,-0.106422,-0.000598,-0.370260,0.000256
scenario_3_high_noise_cal,scenario_3_high_noise_cal,30.303030,0.627280,15.098282,15.412792,0.681183,15.002890,15.295047,train,,0.628087,15.525116,15.412443,0.053096,-0.522226,-0.117396,-0.000807,-0.426834,0.000349
scenario_3_high_noise_cal,scenario_3_high_noise_cal,31.515152,0.719500,14.961160,15.323581,0.788343,14.914511,15.368794,train,,0.720587,15.452839,15.323108,0.067756,-0.538328,0.045686,-0.001087,-0.491679,0.000473
scenario_3_high_noise_cal,scenario_3_high_noise_cal,32.727273,0.825165,14.803985,15.221352,0.949870,14.722607,15.013201,train,,0.826627,15.369969,15.220712,0.123243,-0.647362,-0.207511,-0.001462,-0.565984,0.000640
scenario_3_high_noise_cal,scenario_3_high_noise_cal,33.939394,0.946195,14.623870,15.104239,0.876107,14.693168,15.120672,train,,0.948161,15.274973,15.103374,-0.072054,-0.581804,0.017298,-0.001965,-0.651102,0.000865
