run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_4_switching_cal,scenario_4_switching_cal,0.000000,0.020000,10.000000,16.000000,0.011079,10.011062,15.989124,train,0.050000,0.020000,10.000000,16.000000,-0.008921,0.011062,-0.010876,0.000000,0.000000,0.000000
scenario_4_switching_cal,scenario_4_switching_cal,1.212121,0.021249,9.997510,15.999900,0.040853,10.002488,16.028127,train,0.039239,0.022868,9.997319,15.997145,0.017985,0.005169,0.030982,-0.001619,0.000191,0.002756
scenario_4_switching_cal,scenario_4_switching_cal,2.424242,0.022580,9.994843,15.999810,0.028204,10.015017,15.998053,train,0.030795,0.026146,9.994255,15.993880,0.002058,0.020762,0.004173,-0.003566,0.000589,0.005930
scenario_4_switching_cal,scenario_4_switching_cal,3.636364,0.023998,9.991992,15.999727,0.010047,10.001681,16.003821,train,0.024169,0.029895,9.990751,15.990147,-0.019848,0.010930,0.013674,-0.005896,0.001241,0.009580
scenario_4_switching_cal,scenario_4_switching_cal,4.848485,0.025508,9.988946,15.999649,0.008189,10.013301,16.023228,train,0.018969,0.034180,9.986744,15.985879,-0.025991,0.026556,0.037349,-0.008672,0.002202,0.013770
scenario_4_switching_cal,scenario_4_switching_cal,6.060606,0.027115,9.985697,15.999576,0.000000,10.004085,15.981626,train,0.014889,0.039080,9.982164,15.981000,-0.039080,0.021921,0.000626,-0.011965,0.003533,0.018576
scenario_4_switching_cal,scenario_4_switching_cal,7.272727,0.028826,9.982233,15.999506,0.034641,10.012667,15.979649,train,0.011687,0.044682,9.976928,15.975422,-0.010041,0.035739,0.004227,-0.015856,0.005305,0.024084
scenario_4_switching_cal,scenario_4_switching_cal,8.484848,0.030646,9.978541,15.999437,0.023554,9.985717,15.995507,train,0.009174,0.051086,9.970941,15.969044,-0.027532,0.014776,0.026463,-0.020440,0.007600,0.030393
scenario_4_switching_cal,scenario_4_switching_cal,9.696970,0.032582,9.974610,15.999370,0.000000,9.992715,16.015913,train,0.007203,0.058407,9.964097,15.961752,-0.058407,0.028618,0.054161,-0.025825,0.010513,0.037617
scenario_4_switching_cal,scenario_4_switching_cal,10.909091,0.034642,9.970425,15.999302,0.023927,9.964282,15.972685,train,0.005656,0.066777,9.956273,15.953417,-0.042850,0.008009,0.019268,-0.032136,0.014151,0.045886
scenario_4_switching_cal,scenario_4_switching_cal,12.121212,0.036832,9.965970,15.999234,0.018812,9.953941,15.965873,train,0.004441,0.076346,9.947329,15.943887,-0.057534,0.006611,0.021986,-0.039513,0.018641,0.055347
scenario_4_switching_cal,scenario_4_switching_cal,13.333333,0.039162,9.961230,15.999165,0.070676,9.995365,16.015639,train,0.003489,0.087284,9.937105,15.932993,-0.016608,0.058260,0.082646,-0.048122,0.024125,0.066172
scenario_4_switching_cal,scenario_4_switching_cal,14.545455,0.041640,9.956186,15.999094,0.007584,9.960510,15.987034,train,0.002741,0.099787,9.925418,15.920540,-0.092203,0.035093,0.066494,-0.058147,0.030768,0.078554
scenario_4_switching_cal,scenario_4_switching_cal,15.757576,0.044275,9.950821,15.999020,0.015448,9.966919,15.991175,train,0.002154,0.114079,9.912059,15.906304,-0.098631,0.054860,0.084871,-0.069804,0.038763,0.092716
scenario_4_switching_cal,scenario_4_switching_cal,16.969697,0.047076,9.945115,15.998943,0.069276,9.947590,15.961807,train,0.001694,0.130414,9.896790,15.890032,-0.061139,0.050800,0.071775,-0.083338,0.048325,0.108911
scenario_4_switching_cal,scenario_4_switching_cal,18.181818,0.050056,9.939046,15.998863,0.077191,9.927316,15.985284,train,0.001333,0.149085,9.879338,15.871433,-0.071894,0.047977,0.113851,-0.099030,0.059708,0.127431
scenario_4_switching_cal,scenario_4_switching_cal,19.393939,0.053223,9.932592,15.998780,0.038324,9.932812,15.998628,train,0.001049,0.170424,9.859394,15.850175,-0.132100,0.073418,0.148453,-0.117200,0.073198,0.148605
scenario_4_switching_cal,scenario_4_switching_cal,20.606061,0.056591,9.925729,15.998691,0.043950,9.954448,16.017299,train,0.000827,0.194809,9.836602,15.825879,-0.150859,0.117846,0.191420,-0.138217,0.089127,0.172812
scenario_4_switching_cal,scenario_4_switching_cal,21.818182,0.060172,9.918430,15.998599,0.072497,9.929535,15.983174,train,0.000652,0.222674,9.810558,15.798114,-0.150177,0.118977,0.185059,-0.162502,0.107872,0.200484
