run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_5_time_gated_cal,scenario_5_time_gated_cal,0.000000,0.020000,10.000000,16.000000,0.044980,9.979680,15.988527,train,,0.020000,10.000000,16.000000,0.024980,-0.020320,-0.011473,0.000000,0.000000,0.000000
scenario_5_time_gated_cal,scenario_5_time_gated_cal,1.212121,0.021250,9.997418,16.000000,0.035003,9.986973,16.023270,train,,0.022868,9.997319,15.997145,0.012136,-0.010347,0.026125,-0.001618,0.000098,0.002855
scenario_5_time_gated_cal,scenario_5_time_gated_cal,2.424242,0.022577,9.994674,16.000000,0.061900,10.010297,15.993876,train,,0.026146,9.994255,15.993880,0.035754,0.016043,-0.000004,-0.003569,0.000419,0.006120
scenario_5_time_gated_cal,scenario_5_time_gated_cal,3.636364,0.023988,9.991759,16.000000,0.000000,10.012812,16.022090,train,,0.029895,9.990751,15.990147,-0.029895,0.022061,0.031943,-0.005907,0.001008,0.009853
scenario_5_time_gated_cal,scenario_5_time_gated_cal,4.848485,0.025486,9.988662,16.000000,0.020179,9.987247,16.008579,train,,0.034180,9.986744,15.985879,-0.014001,0.000503,0.022700,-0.008694,0.001917,0.014121
scenario_5_time_gated_cal,scenario_5_time_gated_cal,6.060606,0.027078,9.985371,16.000000,0.017828,9.986265,15.993143,train,,0.039080,9.982164,15.981000,-0.021252,0.004100,0.012143,-0.012002,0.003207,0.019000
scenario_5_time_gated_cal,scenario_5_time_gated_cal,7.272727,0.028770,9.981876,16.000000,0.000000,9.997043,16.009594,train,,0.044682,9.976928,15.975422,-0.044682,0.020115,0.034172,-0.015912,0.004948,0.024578
scenario_5_time_gated_cal,scenario_5_time_gated_cal,8.484848,0.030566,9.978162,16.000000,0.051773,9.980798,16.006409,train,,0.051086,9.970941,15.969044,0.000687,0.009857,0.037365,-0.020519,0.007221,0.030956
scenario_5_time_gated_cal,scenario_5_time_gated_cal,9.696970,0.032475,9.974216,16.000000,0.027068,9.948346,16.020418,train,,0.058407,9.964097,15.961752,-0.031340,-0.015751,0.058665,-0.025932,0.010119,0.038248
scenario_5_time_gated_cal,scenario_5_time_gated_cal,10.909091,0.034504,9.970025,16.000000,0.049296,9.953765,15.989033,train,,0.066777,9.956273,15.953417,-0.017481,-0.002508,0.035616,-0.032274,0.013751,0.046583
scenario_5_time_gated_cal,scenario_5_time_gated_cal,12.121212,0.036658,9.965571,16.000000,0.083854,9.970274,16.000824,train,,0.076346,9.947329,15.943887,0.007508,0.022944,0.056937,-0.039688,0.018242,0.056113
scenario_5_time_gated_cal,scenario_5_time_gated_cal,13.333333,0.038947,9.960840,16.000000,0.031882,9.985150,15.998770,train,,0.087284,9.937105,15.932993,-0.055401,0.048045,0.065777,-0.048337,0.023735,0.067007
scenario_5_time_gated_cal,scenario_5_time_gated_cal,14.545455,0.041379,9.955814,16.000000,0.032956,9.988134,16.014083,train,,0.099787,9.925418,15.920540,-0.066831,0.062716,0.093543,-0.058408,0.030396,0.079460
scenario_5_time_gated_cal,scenario_5_time_gated_cal,15.757576,0.043962,9.950474,16.000000,0.046335,9.966065,15.979496,train,,0.114079,9.912059,15.906304,-0.067743,0.054006,0.073192,-0.070117,0.038416,0.093696
scenario_5_time_gated_cal,scenario_5_time_gated_cal,16.969697,0.046706,9.944802,16.000000,0.066451,9.950548,16.020340,train,,0.130414,9.896790,15.890032,-0.063963,0.053758,0.130308,-0.083708,0.048012,0.109968
scenario_5_time_gated_cal,scenario_5_time_gated_cal,18.181818,0.049622,9.938776,16.000000,0.038287,9.953752,16.009327,train,,0.149085,9.879338,15.871433,-0.110798,0.074414,0.137894,-0.099464,0.059438,0.128567
