run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,0.000000,0.020000,20.000000,10.000000,0.039365,19.998991,9.993618,train,,0.020000,20.000000,10.000000,0.019365,-0.001009,-0.006382,0.000000,0.000000,0.000000
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,1.212121,0.021568,19.995696,9.999646,0.069924,19.977866,9.984671,train,,0.022868,19.997642,9.997359,0.047056,-0.019776,-0.012687,-0.001300,-0.001945,0.002288
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,2.424242,0.023259,19.991055,9.999265,0.000000,19.976235,9.994852,train,,0.026146,19.994945,9.994339,-0.026146,-0.018710,0.000513,-0.002887,-0.003890,0.004926
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,3.636364,0.025083,19.986051,9.998853,0.054246,19.970427,10.004875,train,,0.029895,19.991862,9.990886,0.024351,-0.021435,0.013989,-0.004812,-0.005812,0.007967
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,4.848485,0.027049,19.980654,9.998409,0.028452,19.991101,10.018067,train,,0.034181,19.988337,9.986939,-0.005729,0.002763,0.031128,-0.007132,-0.007684,0.011470
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,6.060606,0.029170,19.974833,9.997930,0.045292,19.970191,9.945427,train,,0.039081,19.984307,9.982426,0.006211,-0.014116,-0.037000,-0.009911,-0.009474,0.015503
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,7.272727,0.031458,19.968557,9.997413,0.000000,19.964985,9.980777,train,,0.044683,19.979699,9.977267,-0.044683,-0.014714,0.003510,-0.013226,-0.011142,0.020145
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,8.484848,0.033925,19.961788,9.996855,0.063286,19.973727,10.000037,train,,0.051088,19.974431,9.971369,0.012198,-0.000704,0.028668,-0.017164,-0.012643,0.025486
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,9.696970,0.036585,19.954489,9.996253,0.052315,19.951648,9.994276,train,,0.058411,19.968408,9.964627,-0.006095,-0.016760,0.029649,-0.021826,-0.013919,0.031626
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,10.909091,0.039454,19.946617,9.995603,0.038676,19.941052,10.003671,train,,0.066782,19.961522,9.956919,-0.028106,-0.020469,0.046752,-0.027327,-0.014904,0.038684
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,12.121212,0.042549,19.938129,9.994902,0.055451,19.947538,10.000253,train,,0.076351,19.953649,9.948108,-0.020900,-0.006111,0.052145,-0.033803,-0.015520,0.046794
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,13.333333,0.045886,19.928974,9.994146,0.030576,19.942338,9.988048,train,,0.087291,19.944648,9.938037,-0.056715,-0.002310,0.050012,-0.041405,-0.015674,0.056109
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,14.545455,0.049485,19.919102,9.993329,0.037896,19.916161,9.982792,train,,0.099796,19.934358,9.926525,-0.061900,-0.018198,0.056267,-0.050311,-0.015256,0.066804
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,15.757576,0.053367,19.908456,9.992448,0.044098,19.910068,9.987538,train,,0.114091,19.922595,9.913367,-0.069993,-0.012527,0.074171,-0.060724,-0.014140,0.079081
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,16.969697,0.057554,19.896975,9.991496,0.020499,19.881339,10.014471,train,,0.130430,19.909148,9.898329,-0.109931,-0.027810,0.116142,-0.072876,-0.012174,0.093167
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,18.181818,0.062070,19.884593,9.990469,0.079305,19.867379,9.975829,train,,0.149105,19.893777,9.881144,-0.069800,-0.026397,0.094685,-0.087035,-0.009184,0.109325
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,19.393939,0.066940,19.871240,9.989360,0.090772,19.886623,9.988104,train,,0.170449,19.876206,9.861505,-0.079677,0.010417,0.126599,-0.103509,-0.004966,0.127855
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,20.606061,0.072193,19.856841,9.988163,0.058166,19.865739,9.991830,train,,0.194841,19.856122,9.839066,-0.136675,0.009617,0.152764,-0.122648,0.000719,0.149097
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,21.818182,0.077858,19.841311,9.986870,0.084823,19.850417,10.018077,train,,0.222715,19.833167,9.813428,-0.137892,0.017250,0.204649,-0.144856,0.008144,0.173442
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,23.030303,0.083970,19.824564,9.985473,0.078659,19.830181,9.979467,train,,0.254564,19.806931,9.784140,-0.175906,0.023250,0.195327,-0.170595,0.017633,0.201333
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,24.242424,0.090561,19.806502,9.983965,0.097126,19.807426,10.003141,train,,0.290954,19.776948,9.750686,-0.193827,0.030478,0.252455,-0.200393,0.029554,0.233279
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,25.454545,0.097671,19.787024,9.982336,0.085119,19.800952,10.006975,train,,0.332525,19.742685,9.712480,-0.247405,0.058267,0.294495,-0.234854,0.044339,0.269856
scenario_6_maintenance_inhibition_cal,scenario_6_maintenance_inhibition_cal,26.666667,0.105340,19.766017,9.980576,0.087671,19.784719,9.979301,train,,0.380009,19.703535,9.668855,-0.292337,0.081184,0.310446,-0.274669,0.062482,0.311721
