run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,0.000000,0.020000,10.000000,16.000000,0.003818,9.991133,15.999030,train,0.050000,0.020000,10.000000,16.000000,-0.016182,-0.008867,-0.000970,0.000000,0.000000,0.000000
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,1.212121,0.021215,9.997512,15.999960,0.000000,10.019435,15.990648,train,0.039239,0.022868,9.997319,15.997145,-0.022868,0.022115,-0.006496,-0.001652,0.000193,0.002816
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,2.424242,0.022513,9.994851,15.999924,0.033326,9.980404,15.986212,train,0.030795,0.026146,9.994255,15.993880,0.007179,-0.013850,-0.007668,-0.003633,0.000597,0.006044
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,3.636364,0.023899,9.992010,15.999891,0.066301,9.980115,16.030833,train,0.024169,0.029895,9.990751,15.990147,0.036406,-0.010635,0.040686,-0.005995,0.001259,0.009744
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,4.848485,0.025377,9.988979,15.999860,0.053168,9.989184,15.998214,train,0.018969,0.034180,9.986744,15.985879,0.018988,0.002439,0.012334,-0.008804,0.002234,0.013981
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,6.060606,0.026951,9.985748,15.999831,0.021804,9.985753,16.025232,train,0.014889,0.039080,9.982164,15.981000,-0.017276,0.003589,0.044232,-0.012129,0.003583,0.018831
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,7.272727,0.028627,9.982306,15.999803,0.028804,9.987498,15.989138,train,0.011687,0.044682,9.976928,15.975422,-0.015878,0.010570,0.013716,-0.016055,0.005378,0.024381
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,8.484848,0.030411,9.978642,15.999776,0.048166,10.020475,16.004671,train,0.009174,0.051086,9.970941,15.969044,-0.002920,0.049534,0.035627,-0.020674,0.007700,0.030732
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,9.696970,0.032310,9.974742,15.999749,0.054753,9.981467,15.998639,train,0.007203,0.058407,9.964097,15.961752,-0.003655,0.017369,0.036887,-0.026097,0.010644,0.037996
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,10.909091,0.034330,9.970593,15.999722,0.027459,9.923032,15.965770,train,0.005656,0.066777,9.956273,15.953417,-0.039318,-0.033242,0.012353,-0.032448,0.014319,0.046305
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,12.121212,0.036478,9.966180,15.999695,0.037161,9.972705,16.028262,train,0.004441,0.076346,9.947329,15.943887,-0.039184,0.025376,0.084375,-0.039868,0.018850,0.055808
scenario_7_switching_inhibition_cal,scenario_7_switching_inhibition_cal,13.333333,0.038762,9.961486,15.999667,0.044774,9.962244,15.996964,train,0.003489,0.087284,9.937105,15.932993,-0.042510,0.025139,0.063971,-0.048522,0.024381,0.066674
