run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,0.000000,0.020000,10.000000,16.000000,0.020505,9.958355,15.994841,train,0.050000,0.020000,10.000000,16.000000,0.000505,-0.041645,-0.005159,0.000000,0.000000,0.000000
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,1.212121,0.020355,9.999244,15.999646,0.031209,10.000656,15.993657,train,0.207935,0.022868,9.997319,15.997145,0.008341,0.003336,-0.003488,-0.002512,0.001925,0.002502
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,2.424242,0.021121,9.998164,15.998883,0.020835,9.998680,15.984950,train,0.339613,0.026146,9.994255,15.993880,-0.005311,0.004425,-0.008930,-0.005025,0.003910,0.005004
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,3.636364,0.022273,9.996771,15.997737,0.041753,10.000430,16.006307,train,0.449401,0.029895,9.990751,15.990147,0.011858,0.009679,0.016159,-0.007622,0.006021,0.007590
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,4.848485,0.023805,9.995058,15.996211,0.014566,10.037183,16.000904,train,0.540936,0.034180,9.986744,15.985879,-0.019614,0.050439,0.015025,-0.010375,0.008314,0.010332
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,6.060606,0.025729,9.993008,15.994295,0.000000,10.017820,15.962482,train,0.617254,0.039080,9.982164,15.981000,-0.039080,0.035656,-0.018518,-0.013351,0.010844,0.013295
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,7.272727,0.028071,9.990592,15.991963,0.067610,10.006293,15.958933,train,0.680885,0.044682,9.976928,15.975422,0.022928,0.029365,-0.016489,-0.016611,0.013664,0.016542
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,8.484848,0.030864,9.987772,15.989181,0.018772,9.968531,15.997675,train,0.733937,0.051086,9.970941,15.969044,-0.032314,-0.002410,0.028631,-0.020221,0.016831,0.020137
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,9.696970,0.034157,9.984503,15.985902,0.022789,9.974243,15.969596,train,0.778169,0.058407,9.964097,15.961752,-0.035619,0.010146,0.007844,-0.024250,0.020406,0.024149
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,10.909091,0.038007,9.980728,15.982068,0.036691,9.978831,15.988109,train,0.815048,0.066777,9.956273,15.953417,-0.030087,0.022557,0.034693,-0.028770,0.024454,0.028652
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,12.121212,0.042482,9.976381,15.977612,0.043825,9.960872,15.993231,train,0.845795,0.076346,9.947329,15.943887,-0.032521,0.013543,0.049344,-0.033864,0.029051,0.033725
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,13.333333,0.047662,9.971385,15.972453,0.039928,9.981394,15.947034,train,0.871431,0.087284,9.937105,15.932993,-0.047356,0.044289,0.014041,-0.039622,0.034280,0.039460
scenario_8_lag_adaptation_cal,scenario_8_lag_adaptation_cal,14.545455,0.053641,9.965651,15.966498,0.053293,9.972789,15.938267,train,0.892806,0.099787,9.925418,15.920540,-0.046494,0.047371,0.017728,-0.046145,0.040233,0.045959
