run_id,scenario,time_h,X_true,S1_true,S2_true,X_obs,S1_obs,S2_obs,split,z_true,X_baseline,S1_baseline,S2_baseline,res_X,res_S1,res_S2,res_X_true,res_S1_true,res_S2_true
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,0.000000,0.020000,16.000000,16.000000,0.013758,15.990140,16.033796,train,,0.020000,16.000000,16.000000,-0.006242,-0.009860,0.033796,0.000000,0.000000,0.000000
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,1.212121,0.022960,15.997096,15.997048,0.037590,15.952589,16.023892,train,,0.022960,15.997169,15.997139,0.014630,-0.044580,0.026753,-0.000000,-0.000073,-0.000091
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,2.424242,0.026358,15.993592,15.993448,0.000000,15.971779,16.006104,train,,0.026358,15.993920,15.993854,-0.026358,-0.022141,0.012251,-0.000000,-0.000328,-0.000406
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,3.636364,0.030259,15.989361,15.989056,0.030358,15.974511,15.996626,train,,0.030259,15.990190,15.990083,0.000099,-0.015679,0.006543,-0.000000,-0.000829,-0.001027
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,4.848485,0.034737,15.984249,15.983700,0.039463,15.985732,15.981941,train,,0.034738,15.985907,15.985754,0.004725,-0.000176,-0.003813,-0.000000,-0.001659,-0.002054
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,6.060606,0.039878,15.978070,15.977168,0.062993,15.959162,15.951945,train,,0.039878,15.980992,15.980785,0.023115,-0.021829,-0.028840,-0.000000,-0.002921,-0.003618
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,7.272727,0.045779,15.970599,15.969200,0.014074,15.960330,15.964877,train,,0.045780,15.975348,15.975081,-0.031706,-0.015018,-0.010204,-0.000000,-0.004749,-0.005881
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,8.484848,0.052553,15.961562,15.959483,0.053168,15.937055,15.961511,train,,0.052554,15.968870,15.968533,0.000614,-0.031815,-0.007022,-0.000001,-0.007308,-0.009050
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,9.696970,0.060328,15.950625,15.947633,0.038623,15.954048,15.952222,train,,0.060330,15.961434,15.961017,-0.021706,-0.007387,-0.008794,-0.000002,-0.010809,-0.013384
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,10.909091,0.069253,15.937385,15.933181,0.079363,15.945899,15.942572,train,,0.069256,15.952898,15.952389,0.010107,-0.006998,-0.009817,-0.000003,-0.015513,-0.019208
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,12.121212,0.079497,15.921351,15.915557,0.095041,15.929398,15.933983,train,,0.079502,15.943099,15.942485,0.015539,-0.013701,-0.008501,-0.000005,-0.021749,-0.026928
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,13.333333,0.091254,15.901926,15.894065,0.116997,15.902173,15.880222,train,,0.091263,15.931852,15.931117,0.025734,-0.029679,-0.050895,-0.000009,-0.029926,-0.037052
scenario_9_yield_drift_cal,scenario_9_yield_drift_cal,14.545455,0.104747,15.878387,15.867860,0.094047,15.847565,15.854198,train,,0.104762,15.918941,15.918069,-0.010715,-0.071376,-0.063870,-0.000015,-0.040555,-0.050209
