True mechanism / selected mechanism,baseline,death_decay,inhibition,lag_adaptation,maintenance,maintenance_inhibition,oxygen_limitation,product_inhibition,switching,switching_inhibition,time_gating,yield_drift
baseline,39,0,0,0,1,0,0,0,4,0,0,1
death_decay,40,0,0,0,0,0,0,0,0,0,0,0
inhibition,2,0,48,0,0,0,0,0,1,0,0,0
lag_adaptation,32,0,0,0,0,0,0,0,2,0,0,0
maintenance,14,0,0,0,64,0,0,0,0,0,0,0
maintenance_inhibition,2,0,0,0,0,26,0,0,0,0,0,1
oxygen_limitation,8,0,3,0,0,0,32,0,0,0,0,0
product_inhibition,2,0,3,0,0,0,0,30,0,0,0,0
switching,1,0,0,0,0,0,0,0,30,5,0,0
switching_inhibition,2,0,1,0,0,0,0,0,8,17,0,0
time_gating,10,0,30,0,1,0,0,0,0,0,0,0
yield_drift,5,0,0,0,5,0,0,0,0,0,0,30
